File,Detect,payload time,payload,payload size,snr,error
150516apr25_105Khz_B01.wav,0.017697,26.960320,HelloWorld, 16,5.548
150516apr25_105Khz_B02.wav,0.017697,,,,4.677,No data
150516apr25_105Khz_B03.wav,0.017697,,,,5.207,No data
150516apr25_105Khz_B04.wav,0.017697,26.742160,HelloWorld, 16,6.116
150516apr25_105Khz_B04.wav,26.742786,,,,,No data
150516apr25_105Khz_B05.wav,0.017697,26.737760,HelloWorld, 16,4.883
150516apr25_105Khz_B05.wav,26.740737,,,,,No data
150516apr25_105Khz_B06.wav,0.017697,27.034080,HelloWorld, 16,7.238
150516apr25_105Khz_B06.wav,27.033203,,,,,No data
150516apr25_105Khz_B07.wav,0.017697,27.033840,HelloWorld, 16,10.919
150516apr25_105Khz_B07.wav,27.031757,,,,,No data
150516apr25_105Khz_B08.wav,0.017697,,,,8.475,No data
150516apr25_105Khz_B09.wav,0.017697,26.957600,HelloWorld, 16,11.312
150516apr25_105Khz_B09.wav,26.952511,,,,,No data
150516apr25_105Khz_B10.wav,0.017697,26.884480,HelloWorld, 16,10.437
150516apr25_105Khz_B10.wav,26.878424,,,,,No data
150516apr25_105Khz_B11.wav,0.017697,,,,4.596,No data
150516apr25_105Khz_B12.wav,0.017697,27.115440,HelloWorld, 16,7.521
150516apr25_105Khz_B12.wav,27.114755,,,,,No data
150516apr25_105Khz_B13.wav,0.017697,26.989200,HelloWorld, 16,8.868
150516apr25_105Khz_B13.wav,26.987416,,,,,No data
150516apr25_105Khz_B14.wav,0.017697,,,,9.888,No data
150516apr25_105Khz_B15.wav,0.017697,,,,4.127,No data
151016apr25_105Khz_B01.wav,0.017697,,,,4.096,No data
151016apr25_105Khz_B02.wav,0.017697,,,,5.850,No data
151016apr25_105Khz_B03.wav,0.017697,,,,4.682,No data
151016apr25_105Khz_B04.wav,0.017697,,,,4.675,No data
151016apr25_105Khz_B05.wav,0.017697,,,,4.328,No data
151016apr25_105Khz_B06.wav,0.017697,,,,5.273,No data
151016apr25_105Khz_B07.wav,0.017697,,,,4.068,No data
151016apr25_105Khz_B08.wav,0.017697,,,,5.533,No data
151016apr25_105Khz_B09.wav,0.017697,,,,3.985,No data
151016apr25_105Khz_B10.wav,0.017697,,,,5.918,No data
151016apr25_105Khz_B11.wav,0.017697,,,,4.572,No data
151016apr25_105Khz_B12.wav,0.017697,,,,5.756,No data
151016apr25_105Khz_B13.wav,0.017697,,,,5.582,No data
151016apr25_105Khz_B14.wav,0.017697,106.024320,HelloWorld, 16,9.320
151016apr25_105Khz_B15.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B01.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B02.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B03.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B04.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B05.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B06.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B07.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B08.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B09.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B10.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B11.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B12.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B13.wav,0.017697,,,,-nan(ind),No data
154016apr25_105Khz_B14.wav,0.017697,,,,4.294,No data
154016apr25_105Khz_B15.wav,0.017697,,,,4.220,No data
154716apr25_10.5Khz_B01.wav,0.017697,9.627280,HelloWorld, 16,10.625
154716apr25_10.5Khz_B02.wav,0.017697,9.651360,HelloWorld, 16,16.197
154716apr25_10.5Khz_B02.wav,9.496814,,,,,No data
154716apr25_10.5Khz_B03.wav,0.017697,9.386560,HelloWorld, 16,8.864
154716apr25_10.5Khz_B04.wav,0.017697,9.332080,HelloWorld, 16,10.759
154716apr25_10.5Khz_B04.wav,9.331381,,,,,No data
154716apr25_10.5Khz_B05.wav,0.017697,9.265120,HelloWorld, 16,8.570
154716apr25_10.5Khz_B05.wav,9.265064,,,,,No data
154716apr25_10.5Khz_B06.wav,0.017697,9.612080,HelloWorld, 16,15.376
154716apr25_10.5Khz_B07.wav,0.017697,9.612000,HelloWorld, 16,16.382
154716apr25_10.5Khz_B08.wav,0.017697,9.424960,HelloWorld, 16,10.056
154716apr25_10.5Khz_B08.wav,9.422915,,,,,No data
154716apr25_10.5Khz_B09.wav,0.017697,,,,4.304,No data
154716apr25_10.5Khz_B10.wav,0.017697,9.404800,HelloWorld, 16,9.569
154716apr25_10.5Khz_B10.wav,9.404240,,,,,No data
154716apr25_10.5Khz_B11.wav,0.017697,,,,5.428,No data
154716apr25_10.5Khz_B12.wav,0.017697,9.676880,HelloWorld, 16,8.498
154716apr25_10.5Khz_B12.wav,9.675708,,,,,No data
154716apr25_10.5Khz_B13.wav,0.017697,9.497360,HelloWorld, 16,10.019
154716apr25_10.5Khz_B13.wav,9.495694,,,,,No data
154716apr25_10.5Khz_B14.wav,0.017697,,,,-nan(ind),No data
154716apr25_10.5Khz_B15.wav,0.017697,,,,-nan(ind),No data
155716apr25_10.5Khz_B01.wav,0.017697,,,,4.431,No data
155716apr25_10.5Khz_B02.wav,0.017697,8.740640,Hello,  8,8.210
155716apr25_10.5Khz_B02.wav,8.740904,,,,,No data
155716apr25_10.5Khz_B03.wav,0.017697,,,,6.244,No data
155716apr25_10.5Khz_B04.wav,0.017697,8.490400,Hello,  8,6.585
155716apr25_10.5Khz_B04.wav,8.491367,,,,,No data
155716apr25_10.5Khz_B05.wav,0.017697,,,,5.950,No data
155716apr25_10.5Khz_B06.wav,0.017697,,,,6.608,No data
155716apr25_10.5Khz_B07.wav,0.017697,,,,6.944,No data
155716apr25_10.5Khz_B08.wav,0.017697,,,,6.593,No data
155716apr25_10.5Khz_B09.wav,0.017697,,,,5.240,No data
155716apr25_10.5Khz_B10.wav,0.017697,8.243200,»Fì€,  8,6.860
155716apr25_10.5Khz_B10.wav,8.242998,,,,,No data
155716apr25_10.5Khz_B11.wav,0.017697,,,,4.542,No data
155716apr25_10.5Khz_B12.wav,0.017697,,,,5.950,No data
155716apr25_10.5Khz_B13.wav,0.017697,8.303840,Hello,  8,7.067
155716apr25_10.5Khz_B13.wav,8.303513,,,,,No data
155716apr25_10.5Khz_B14.wav,0.017697,,,,4.357,No data
155716apr25_10.5Khz_B15.wav,0.017697,,,,-nan(ind),No data
