File,Detect,payload time,payload,payload size,snr,error
143516apr25_35Khz_B01.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B02.wav,0.018471,,,,4.197,No data
143516apr25_35Khz_B03.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B04.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B05.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B06.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B07.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B08.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B09.wav,0.018471,,,,4.482,No data
143516apr25_35Khz_B10.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B11.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B12.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B13.wav,0.018471,,,,-nan(ind),No data
143516apr25_35Khz_B14.wav,0.018471,,,,4.349,No data
143516apr25_35Khz_B15.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B01.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B02.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B03.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B04.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B05.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B06.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B07.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B08.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B09.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B10.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B11.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B12.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B13.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B14.wav,0.018471,,,,-nan(ind),No data
143816apr25_35Khz_B15.wav,0.018471,,,,-nan(ind),No data
145716apr25_35Khz_B01.wav,0.018471,,,,5.563,No data
145716apr25_35Khz_B02.wav,0.018471,,,,5.296,No data
145716apr25_35Khz_B03.wav,0.018471,,,,5.388,No data
145716apr25_35Khz_B04.wav,0.018471,,,,6.170,No data
145716apr25_35Khz_B05.wav,0.018471,,,,4.524,No data
145716apr25_35Khz_B06.wav,0.018471,,,,6.307,No data
145716apr25_35Khz_B07.wav,0.018471,,,,6.767,No data
145716apr25_35Khz_B08.wav,0.018471,,,,6.183,No data
145716apr25_35Khz_B09.wav,0.018471,,,,5.586,No data
145716apr25_35Khz_B10.wav,0.018471,,,,6.146,No data
145716apr25_35Khz_B11.wav,0.018471,,,,7.707,No data
145716apr25_35Khz_B12.wav,0.018471,,,,5.401,No data
145716apr25_35Khz_B13.wav,0.018471,,,,5.322,No data
145716apr25_35Khz_B14.wav,0.018471,,,,5.301,No data
145716apr25_35Khz_B15.wav,0.018471,,,,-nan(ind),No data
150016apr25_3.5Khz_B01.wav,0.018471,,,,4.701,No data
150016apr25_3.5Khz_B02.wav,0.018471,,,,5.130,No data
150016apr25_3.5Khz_B03.wav,0.018471,,,,-nan(ind),No data
150016apr25_3.5Khz_B04.wav,0.018471,,,,6.094,No data
150016apr25_3.5Khz_B05.wav,0.018471,,,,4.928,No data
